Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Hourly,upd_salary,Company text,job_state
Senior Data Scientist,"$182,500 /yr (est.)",4.2,"HealthSherpa
4.2",Remote,51 to 200 Employees,Company - Private,0,182500.0,HealthSherpa,Remote
Data Scientist,$52.50 /hr (est.),4.3,"Narvee Technologies pvt ltd
4.3",Remote,1 to 50 Employees,Company - Private,1,52.5,Narvee Technologies pvt ltd,Remote
Data Scientist - Analytic Consultant,"$92,961 /yr (est.)",3.7,"PREMIER Bankcard LLC
3.7","Sioux Falls, SD",Unknown,Company - Private,0,92961.0,PREMIER Bankcard LLC, SD
Research Statistician,"$93,506 /yr (est.)",3.8,"Corning
3.8","Corning, NY",Unknown,-1,0,93506.0,Corning, NY
Jr Data Scientist / Programmer Analyst,"$100,000 /yr (est.)",3.2,"The Brite Group
3.2",Remote,1 to 50 Employees,-1,0,100000.0,The Brite Group,Remote
Data Scientist - Boston,"$166,100 /yr (est.)",4.4,"Vectra
4.4","Boston, MA",201 to 500 Employees,Company - Private,0,166100.0,Vectra, MA
VP Data Technology,"$224,450 /yr (est.)",3.6,"Mitsubishi HC Capital America Inc
3.6","Norwalk, CT",1 to 50 Employees,Company - Private,0,224450.0,Mitsubishi HC Capital America Inc, CT
Data Scientist,"$110,334 /yr (est.)",4.2,"Northeastern University
4.2","Boston, MA",1001 to 5000 Employees,-1,0,110334.0,Northeastern University, MA
Data Scientist,$62.50 /hr (est.),-1.0,Tech brothers info services,"Elk Grove, CA",Unknown,-1,1,62.5,Tech brothers info services, CA
Data Scientist,"$140,000 /yr (est.)",4.2,"Shipwell
4.2","Austin, TX",51 to 200 Employees,Company - Private,0,140000.0,Shipwell, TX
Data Scientist I,"$113,021 /yr (est.)",3.2,"MAPFRE
3.2","Webster, MA",1001 to 5000 Employees,-1,0,113021.0,MAPFRE, MA
Data Scientist - IS Clinical Research,"$152,580 /yr (est.)",4.0,"Keck Medical Center of USC
4.0","Los Angeles, CA",5001 to 10000 Employees,-1,0,152580.0,Keck Medical Center of USC, CA
Data Science Graduate Research Assistant,"$49,982 /yr (est.)",4.2,"University of Maryland
4.2","College Park, MD",10000+ Employees,-1,0,49982.0,University of Maryland, MD
Data Scientist,"$107,414 /yr (est.)",4.1,"Pfizer
4.1","Groton, CT",10000+ Employees,-1,0,107414.0,Pfizer, CT
Data Scientist,"$147,500 /yr (est.)",3.7,"Keystone Strategy
3.7","Boston, MA",51 to 200 Employees,-1,0,147500.0,Keystone Strategy, MA
Associate Data Scientist,"$88,640 /yr (est.)",4.0,"SimBioSys
4.0","Chicago, IL",1 to 50 Employees,Company - Private,0,88640.0,SimBioSys, IL
Data Scientist 3,"$105,602 /yr (est.)",3.9,"Choice Hotels
3.9","Rockville, MD",1001 to 5000 Employees,-1,0,105602.0,Choice Hotels, MD
"Senior Data Scientist, Analytics","$175,000 /yr (est.)",3.9,"Discord
3.9","San Francisco, CA",501 to 1000 Employees,Company - Private,0,175000.0,Discord, CA
Health Data Scientist (Remote),"$86,926 /yr (est.)",3.8,"US News & World Report ,L.P.
3.8","Washington, DC",201 to 500 Employees,Company - Private,0,86926.0,"US News & World Report ,L.P.", DC
