Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Mathematical Scientist,"$150,000 /yr (est.)",-1,Pit.AI Technologies Inc.,"San Jose, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$93,000 /yr (est.)",5.0,"Vetro Tech Inc
5.0","Dallas, TX",-1,Unknown,-1,-1,-1,-1,-1,-1
Data Scientist,-1,-1,N1 solutions,"New York, NY",-1,Unknown,-1,-1,-1,-1,-1,-1
Data Scientist,"$105,000 /yr (est.)",3.1,"CVS Health
3.1","New York, NY",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$88,216 /yr (est.)",3.7,"DataSeers
3.7","Alpharetta, GA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Biomedical Data Scientist,"$95,246 /yr (est.)",3.2,"Retia Medical
3.2","White Plains, NY",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Visualization Specialist,-1,3.7,"Capgemini
3.7",Remote,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$80,000 /yr (est.)",1.0,"Procal Technologies
1.0",Remote,-1,Unknown,-1,Company - Private,-1,-1,-1,-1
Senior Data Scientist,"$182,500 /yr (est.)",4.2,"HealthSherpa
4.2",Remote,-1,51 to 200 Employees,2014,Company - Private,-1,-1,-1,-1
Senior Data Scientist,-1,4.0,"eCapital
4.0",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Sr. Data Analyst,-1,3.5,"BEN Group, Inc
3.5",Remote,-1,201 to 500 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),-1
Data Scientist,$52.50 /hr (est.),4.3,"Narvee Technologies pvt ltd
4.3",Remote,-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
"AI/ML - Machine Learning Engineer/Scientist, Information Intelligence",-1,4.2,"Apple
4.2","Seattle, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist - Analytic Consultant,"$92,961 /yr (est.)",3.7,"PREMIER Bankcard LLC
3.7","Sioux Falls, SD",-1,Unknown,-1,Company - Private,-1,-1,-1,-1
Research Statistician,"$93,506 /yr (est.)",3.8,"Corning
3.8","Corning, NY",-1,Unknown,-1,-1,-1,-1,-1,-1
Jr Data Scientist / Programmer Analyst,"$100,000 /yr (est.)",3.2,"The Brite Group
3.2",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist - Boston,"$166,100 /yr (est.)",4.4,"Vectra
4.4","Boston, MA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
VP Data Technology,"$224,450 /yr (est.)",3.6,"Mitsubishi HC Capital America Inc
3.6","Norwalk, CT",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist (Remote/Hybrid),-1,4.0,"National Interstate Corporation
4.0",Ohio,-1,501 to 1000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$110,334 /yr (est.)",4.2,"Northeastern University
4.2","Boston, MA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
"Data Scientist, Bioinformatics",-1,-1,NewLimit,"South San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,-1,4.1,"LeaseLock
4.1",Remote,-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,$62.50 /hr (est.),-1,Tech brothers info services,"Elk Grove, CA",-1,Unknown,-1,-1,-1,-1,-1,-1
Data Scientist,"$140,000 /yr (est.)",4.2,"Shipwell
4.2","Austin, TX",-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,4.1,"Unilever
4.1",Remote,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist I,"$113,021 /yr (est.)",3.2,"MAPFRE
3.2","Webster, MA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,-1,4.4,"Vendr
4.4","Boston, MA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,$25 to $100 million (USD),-1
Data Scientist - IS Clinical Research,"$152,580 /yr (est.)",4.0,"Keck Medical Center of USC
4.0","Los Angeles, CA",-1,5001 to 10000 Employees,-1,-1,-1,-1,-1,-1
